id,name,sku,price,category,brand,powerRating,modelNumber,energyRating,efficiency,descriptionShort,descriptionFull,additionalInfo,imageUrl
sample_1,Samsung 4-Door French Door Refrigerator,ETL-SAMPLE_1,180,Appliances,Samsung,180W,sample_1,A+,High,Professional Appliances - Samsung Samsung 4-Door French Door Refrigerator. Energy-efficient design with 180W power rating.,"The Samsung 4-Door French Door Refrigerator is a professional-grade Appliances designed for maximum efficiency and performance. This Samsung product delivers exceptional performance while maintaining low operating costs. Features include advanced technology, intelligent controls, and comprehensive safety systems. Perfect for both commercial and residential applications requiring reliable, efficient operation. Energy rating: A, Efficiency: High.",Power Rating: 180W,Energy Rating: A,Efficiency: High,Brand: Samsung,Category: Appliances,Model: sample_1,Professional installation recommended,Comprehensive warranty included,https://via.placeholder.com/600x400/2d7a5f/ffffff?text=Samsung%204-Door%20French%20Door%20Refrigerator
sample_2,LG Front Load Washer,ETL-SAMPLE_2,500,Appliances,LG,500W,sample_2,A++,High,Professional Appliances - LG LG Front Load Washer. Energy-efficient design with 500W power rating.,"The LG Front Load Washer is a professional-grade Appliances designed for maximum efficiency and performance. This LG product delivers exceptional performance while maintaining low operating costs. Features include advanced technology, intelligent controls, and comprehensive safety systems. Perfect for both commercial and residential applications requiring reliable, efficient operation. Energy rating: A, Efficiency: High.",Power Rating: 500W,Energy Rating: A,Efficiency: High,Brand: LG,Category: Appliances,Model: sample_2,Professional installation recommended,Comprehensive warranty included,https://via.placeholder.com/600x400/2d7a5f/ffffff?text=LG%20Front%20Load%20Washer
sample_3,Bosch Dishwasher,ETL-SAMPLE_3,155,Appliances,Bosch,155W,sample_3,A+,High,Professional Appliances - Bosch Bosch Dishwasher. Energy-efficient design with 155W power rating.,"The Bosch Dishwasher is a professional-grade Appliances designed for maximum efficiency and performance. This Bosch product delivers exceptional performance while maintaining low operating costs. Features include advanced technology, intelligent controls, and comprehensive safety systems. Perfect for both commercial and residential applications requiring reliable, efficient operation. Energy rating: A, Efficiency: High.",Power Rating: 155W,Energy Rating: A,Efficiency: High,Brand: Bosch,Category: Appliances,Model: sample_3,Professional installation recommended,Comprehensive warranty included,https://via.placeholder.com/600x400/2d7a5f/ffffff?text=Bosch%20Dishwasher
sample_4,Philips LED Bulb 9W,ETL-SAMPLE_4,9,Lighting,Philips,9W,sample_4,A+,High,Professional Lighting - Philips Philips LED Bulb 9W. Energy-efficient design with 9W power rating.,"The Philips LED Bulb 9W is a professional-grade Lighting designed for maximum efficiency and performance. This Philips product delivers exceptional performance while maintaining low operating costs. Features include advanced technology, intelligent controls, and comprehensive safety systems. Perfect for both commercial and residential applications requiring reliable, efficient operation. Energy rating: A, Efficiency: High.",Power Rating: 9W,Energy Rating: A,Efficiency: High,Brand: Philips,Category: Lighting,Model: sample_4,Professional installation recommended,Comprehensive warranty included,https://via.placeholder.com/600x400/2d7a5f/ffffff?text=Philips%20LED%20Bulb%209W
sample_5,Nest Learning Thermostat,ETL-SAMPLE_5,3,Smart Home,Nest,3W,sample_5,A+,High,Professional Smart Home - Nest Nest Learning Thermostat. Energy-efficient design with 3W power rating.,"The Nest Learning Thermostat is a professional-grade Smart Home designed for maximum efficiency and performance. This Nest product delivers exceptional performance while maintaining low operating costs. Features include advanced technology, intelligent controls, and comprehensive safety systems. Perfect for both commercial and residential applications requiring reliable, efficient operation. Energy rating: A, Efficiency: High.",Power Rating: 3W,Energy Rating: A,Efficiency: High,Brand: Nest,Category: Smart Home,Model: sample_5,Professional installation recommended,Comprehensive warranty included,https://via.placeholder.com/600x400/2d7a5f/ffffff?text=Nest%20Learning%20Thermostat
sample_6,Dyson V15 Detect,ETL-SAMPLE_6,240,Appliances,Dyson,240W,sample_6,A,Medium,Professional Appliances - Dyson Dyson V15 Detect. Energy-efficient design with 240W power rating.,"The Dyson V15 Detect is a professional-grade Appliances designed for maximum efficiency and performance. This Dyson product delivers exceptional performance while maintaining low operating costs. Features include advanced technology, intelligent controls, and comprehensive safety systems. Perfect for both commercial and residential applications requiring reliable, efficient operation. Energy rating: A, Efficiency: Medium.",Power Rating: 240W,Energy Rating: A,Efficiency: Medium,Brand: Dyson,Category: Appliances,Model: sample_6,Professional installation recommended,Comprehensive warranty included,https://via.placeholder.com/600x400/2d7a5f/ffffff?text=Dyson%20V15%20Detect
sample_7,Instant Pot Duo,ETL-SAMPLE_7,1000,Appliances,Instant Pot,1000W,sample_7,A,Medium,Professional Appliances - Instant Pot Instant Pot Duo. Energy-efficient design with 1000W power rating.,"The Instant Pot Duo is a professional-grade Appliances designed for maximum efficiency and performance. This Instant Pot product delivers exceptional performance while maintaining low operating costs. Features include advanced technology, intelligent controls, and comprehensive safety systems. Perfect for both commercial and residential applications requiring reliable, efficient operation. Energy rating: A, Efficiency: Medium.",Power Rating: 1000W,Energy Rating: A,Efficiency: Medium,Brand: Instant Pot,Category: Appliances,Model: sample_7,Professional installation recommended,Comprehensive warranty included,https://via.placeholder.com/600x400/2d7a5f/ffffff?text=Instant%20Pot%20Duo
sample_8,Ring Video Doorbell,ETL-SAMPLE_8,2,Smart Home,Ring,2W,sample_8,A+,High,Professional Smart Home - Ring Ring Video Doorbell. Energy-efficient design with 2W power rating.,"The Ring Video Doorbell is a professional-grade Smart Home designed for maximum efficiency and performance. This Ring product delivers exceptional performance while maintaining low operating costs. Features include advanced technology, intelligent controls, and comprehensive safety systems. Perfect for both commercial and residential applications requiring reliable, efficient operation. Energy rating: A, Efficiency: High.",Power Rating: 2W,Energy Rating: A,Efficiency: High,Brand: Ring,Category: Smart Home,Model: sample_8,Professional installation recommended,Comprehensive warranty included,https://via.placeholder.com/600x400/2d7a5f/ffffff?text=Ring%20Video%20Doorbell
sample_9,Echo Dot 4th Gen,ETL-SAMPLE_9,3,Smart Home,Amazon,3W,sample_9,A+,High,Professional Smart Home - Amazon Echo Dot 4th Gen. Energy-efficient design with 3W power rating.,"The Echo Dot 4th Gen is a professional-grade Smart Home designed for maximum efficiency and performance. This Amazon product delivers exceptional performance while maintaining low operating costs. Features include advanced technology, intelligent controls, and comprehensive safety systems. Perfect for both commercial and residential applications requiring reliable, efficient operation. Energy rating: A, Efficiency: High.",Power Rating: 3W,Energy Rating: A,Efficiency: High,Brand: Amazon,Category: Smart Home,Model: sample_9,Professional installation recommended,Comprehensive warranty included,https://via.placeholder.com/600x400/2d7a5f/ffffff?text=Echo%20Dot%204th%20Gen
sample_10,Apple HomePod Mini,ETL-SAMPLE_10,2,Smart Home,Apple,2W,sample_10,A+,High,Professional Smart Home - Apple Apple HomePod Mini. Energy-efficient design with 2W power rating.,"The Apple HomePod Mini is a professional-grade Smart Home designed for maximum efficiency and performance. This Apple product delivers exceptional performance while maintaining low operating costs. Features include advanced technology, intelligent controls, and comprehensive safety systems. Perfect for both commercial and residential applications requiring reliable, efficient operation. Energy rating: A, Efficiency: High.",Power Rating: 2W,Energy Rating: A,Efficiency: High,Brand: Apple,Category: Smart Home,Model: sample_10,Professional installation recommended,Comprehensive warranty included,https://via.placeholder.com/600x400/2d7a5f/ffffff?text=Apple%20HomePod%20Mini
